id,titulo,texto,categoria,palabras_clave,nivel_dificultad,fuente
379,Uso de Redis como capa de caché en aplicaciones web,"Curso intensivo de Uso de Redis como capa de caché en aplicaciones web. Domina NestJS, JSON y Python a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Backend. El contenido también cubre errores comunes al usar C#.",Backend,"NestJS, JSON, Python, RESTful, OAuth2, SQLAlchemy",Avanzado,Documentación oficial
380,Automatización de infraestructura con Pulumi,"Curso intensivo de Automatización de infraestructura con Pulumi. Domina Envoy, Linkerd y pipelines a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de DevOps. Finalmente, se revisan consideraciones de rendimiento con monitoring.",DevOps,"Envoy, Linkerd, pipelines, ArgoCD, Jaeger, Prometheus",Básico,GitHub
381,Configuración de balanceadores de carga con Nginx,"Tutorial avanzado de Configuración de balanceadores de carga con Nginx. Exploramos la integración de monitoring con Kubernetes para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Se proporciona una comparativa entre GitLab CI y Canary.",DevOps,"monitoring, Kubernetes, Istio",Avanzado,Wiki interna
382,Sharding horizontal en bases de datos distribuidas,"Masterclass de Sharding horizontal en bases de datos distribuidas. Se profundiza en sharding, PostgreSQL y migración con casos de estudio de empresas reales. Incluye ejercicios de Bases de Datos para consolidar el aprendizaje. Se incluyen ejemplos usando PostgreSQL y ORM.",Bases de Datos,"sharding, PostgreSQL, migración, DynamoDB, TimescaleDB",Avanzado,Curso online
383,Optimización de rendimiento en APIs Node.js,"Workshop práctico: Optimización de rendimiento en APIs Node.js. Trabajaremos con Jest, Celery y RabbitMQ en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Backend.",Backend,"Jest, Celery, RabbitMQ, PostgreSQL, Go, XML",Básico,Blog técnico
384,Estrategias de backup y recuperación de desastres,Charla técnica: Estrategias de backup y recuperación de desastres. Se discuten los desafíos de implementar almacenamiento y S3 en escenarios reales de Cloud. Lecciones aprendidas y errores a evitar. Se proporciona una comparativa entre AWS y Lambda.,Cloud,"almacenamiento, S3, alta disponibilidad",Intermedio,Webinar
385,Diseño de data lakes para análisis masivo,"Guía de referencia rápida: Diseño de data lakes para análisis masivo. Consulta práctica sobre data lake y Elasticsearch para resolver problemas cotidianos en Bases de Datos. Incluye snippets de código y comandos útiles. Finalmente, se revisan consideraciones de rendimiento con consultas.",Bases de Datos,"data lake, Elasticsearch, Oracle, BASE, ETL",Básico,GitHub
386,Gestión de estado con Zustand en React,"Workshop práctico: Gestión de estado con Zustand en React. Trabajaremos con JavaScript, Webpack y SSR en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Frontend. Finalmente, se revisan consideraciones de rendimiento con Playwright.",Frontend,"JavaScript, Webpack, SSR, Babel, DOM, Next.js",Avanzado,Documentación oficial
387,Desarrollo de apps multiplataforma con Flutter,"Análisis de caso: Desarrollo de apps multiplataforma con Flutter. Revisamos cómo una empresa migró de Cordova a GetX en su plataforma de Mobile. Métricas, resultados y recomendaciones. Incluye una sección de preguntas frecuentes sobre Flutter.",Mobile,"Cordova, GetX, Capacitor, Swift, App Store",Básico,Tutorial
388,WebSockets para comunicación bidireccional,"Serie de tutoriales: WebSockets para comunicación bidireccional. Parte 1: configuración inicial con FastAPI. Parte 2: integración con MySQL. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Backend. Además, se discute la integración con Jest.",Backend,"FastAPI, MySQL, PostgreSQL, Express, WebSocket, Java",Básico,Medium
389,Seguridad en contenedores Docker,Serie de tutoriales: Seguridad en contenedores Docker. Parte 1: configuración inicial con Datadog. Parte 2: integración con Linux. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para DevOps.,DevOps,"Datadog, Linux, CircleCI",Básico,GitHub
390,Autenticación OAuth2 en APIs modernas,"Workshop práctico: Autenticación OAuth2 en APIs modernas. Trabajaremos con Swagger, Entity Framework y Dapper en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Backend.",Backend,"Swagger, Entity Framework, Dapper, CQRS, JUnit, PostgreSQL",Intermedio,GitHub
391,Infraestructura de claves públicas PKI,Guía de referencia rápida: Infraestructura de claves públicas PKI. Consulta práctica sobre XSS y Burp Suite para resolver problemas cotidianos en Seguridad. Incluye snippets de código y comandos útiles.,Seguridad,"XSS, Burp Suite, hashing",Intermedio,Dev.to
392,Sharding horizontal en bases de datos distribuidas,Serie de tutoriales: Sharding horizontal en bases de datos distribuidas. Parte 1: configuración inicial con consultas. Parte 2: integración con NoSQL. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Bases de Datos. Se proporciona una comparativa entre OLAP y data lake.,Bases de Datos,"consultas, NoSQL, CockroachDB",Avanzado,Tutorial
393,Fundamentos de pentesting ético,"Guía completa sobre Fundamentos de pentesting ético. Aprenderás a trabajar con OWASP, DDoS y Kali Linux desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Seguridad.",Seguridad,"OWASP, DDoS, Kali Linux, IDS",Básico,Conferencia
394,Detección de objetos con YOLO y OpenCV,"Guía completa sobre Detección de objetos con YOLO y OpenCV. Aprenderás a trabajar con Kubeflow, Scikit-learn y clustering desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Data Science.",Data Science,"Kubeflow, Scikit-learn, clustering, Pillow, spaCy",Avanzado,Libro técnico
395,Realidad aumentada con ARKit en iOS,"Proyecto guiado: Realidad aumentada con ARKit en iOS. Construye paso a paso una solución completa usando Dart, Swift y Flutter. Enfocado en Mobile con código disponible en GitHub.",Mobile,"Dart, Swift, Flutter",Avanzado,Curso online
396,Auditoría de seguridad en aplicaciones web,"Guía completa sobre Auditoría de seguridad en aplicaciones web. Aprenderás a trabajar con ciberseguridad, Kali Linux y blockchain desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Seguridad. Además, se discute la integración con Nmap.",Seguridad,"ciberseguridad, Kali Linux, blockchain, phishing",Intermedio,YouTube
397,Cumplimiento normativo GDPR en aplicaciones,"Deep dive sobre Cumplimiento normativo GDPR en aplicaciones. Analizamos arquitecturas modernas que combinan Kali Linux y Metasploit. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Seguridad. Se incluyen ejemplos usando XSS y WAF.",Seguridad,"Kali Linux, Metasploit, vulnerabilidades",Avanzado,GitHub
398,Seguridad en entornos cloud multi-cuenta,"En este contenido se presentan los conceptos fundamentales de Seguridad en entornos cloud multi-cuenta. Se explica paso a paso cómo implementar soluciones prácticas utilizando Cloud SQL y CloudFront, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Cloud. Finalmente, se revisan consideraciones de rendimiento con backup.",Cloud,"Cloud SQL, CloudFront, backup, SNS, EventBridge",Intermedio,Medium
399,Análisis de sentimiento en redes sociales,"Análisis de caso: Análisis de sentimiento en redes sociales. Revisamos cómo una empresa migró de Kubeflow a Spark en su plataforma de Data Science. Métricas, resultados y recomendaciones. Se proporciona una comparativa entre Hugging Face y Seaborn.",Data Science,"Kubeflow, Spark, Pillow, Hugging Face",Básico,Conferencia
400,Dashboards interactivos con Streamlit,"Artículo técnico sobre Dashboards interactivos con Streamlit. Comparativa entre DVC y PyTorch: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Data Science. Incluye una sección de preguntas frecuentes sobre PyTorch.",Data Science,"DVC, PyTorch, NLTK",Intermedio,Conferencia
401,Análisis exploratorio de datos con Pandas,"Introducción práctica a Análisis exploratorio de datos con Pandas. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando OpenCV, TensorFlow y NLP. Perfecto para equipos que inician proyectos de Data Science. Se incluyen ejemplos usando Python y Python.",Data Science,"OpenCV, TensorFlow, NLP, Streamlit",Intermedio,Blog técnico
402,Persistencia local con Room y Core Data,"Masterclass de Persistencia local con Room y Core Data. Se profundiza en cámara, App Store y GetX con casos de estudio de empresas reales. Incluye ejercicios de Mobile para consolidar el aprendizaje.",Mobile,"cámara, App Store, GetX, GPS",Básico,Webinar
403,Change Data Capture para sincronización en tiempo real,"Análisis de caso: Change Data Capture para sincronización en tiempo real. Revisamos cómo una empresa migró de data warehouse a MySQL en su plataforma de Bases de Datos. Métricas, resultados y recomendaciones. Se proporciona una comparativa entre pgAdmin y OLTP.",Bases de Datos,"data warehouse, MySQL, Firestore",Básico,Conferencia
404,Construcción de modelos de regresión con Scikit-learn,Serie de tutoriales: Construcción de modelos de regresión con Scikit-learn. Parte 1: configuración inicial con BERT. Parte 2: integración con GPT. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Data Science.,Data Science,"BERT, GPT, ETL, clasificación, Big Data",Avanzado,Conferencia
405,Procedimientos almacenados y triggers en PostgreSQL,"Introducción práctica a Procedimientos almacenados y triggers en PostgreSQL. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando DynamoDB, transacciones y Neo4j. Perfecto para equipos que inician proyectos de Bases de Datos. Se proporciona una comparativa entre migración y DBeaver.",Bases de Datos,"DynamoDB, transacciones, Neo4j",Intermedio,Conferencia
406,Consultas avanzadas con window functions,"Proyecto guiado: Consultas avanzadas con window functions. Construye paso a paso una solución completa usando triggers, particionamiento y TimescaleDB. Enfocado en Bases de Datos con código disponible en GitHub.",Bases de Datos,"triggers, particionamiento, TimescaleDB, ORM, ClickHouse, transacciones",Intermedio,Conferencia
407,Patrón BLoC en aplicaciones Dart,"Documentación técnica sobre Patrón BLoC en aplicaciones Dart. Se detallan las configuraciones necesarias para App Store y GetX, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Finalmente, se revisan consideraciones de rendimiento con SQLite.",Mobile,"App Store, GetX, Retrofit",Avanzado,Curso online
408,Orquestación de contenedores con EKS y GKE,Charla técnica: Orquestación de contenedores con EKS y GKE. Se discuten los desafíos de implementar GCP y RDS en escenarios reales de Cloud. Lecciones aprendidas y errores a evitar. Incluye una sección de preguntas frecuentes sobre Cloud Functions.,Cloud,"GCP, RDS, S3, VPC, serverless, alta disponibilidad",Básico,Dev.to
409,Integración de Firebase en aplicaciones Android,"En este contenido se presentan los conceptos fundamentales de Integración de Firebase en aplicaciones Android. Se explica paso a paso cómo implementar soluciones prácticas utilizando Riverpod y Alamofire, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Mobile.",Mobile,"Riverpod, Alamofire, Ionic, Retrofit",Básico,Webinar
410,Procesamiento de Big Data con Apache Spark,"Deep dive sobre Procesamiento de Big Data con Apache Spark. Analizamos arquitecturas modernas que combinan Big Data y clasificación. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Data Science.",Data Science,"Big Data, clasificación, Plotly",Intermedio,Libro técnico
411,Observabilidad distribuida con Jaeger,"En este contenido se presentan los conceptos fundamentales de Observabilidad distribuida con Jaeger. Se explica paso a paso cómo implementar soluciones prácticas utilizando Blue-Green y Kubernetes, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en DevOps.",DevOps,"Blue-Green, Kubernetes, SonarQube, Docker, Envoy",Básico,Curso online
412,Gestión de sesiones y autenticación token en Node.js,Charla técnica: Gestión de sesiones y autenticación token en Node.js. Se discuten los desafíos de implementar Kafka y gRPC en escenarios reales de Backend. Lecciones aprendidas y errores a evitar. Se proporciona una comparativa entre RESTful y Java.,Backend,"Kafka, gRPC, base de datos, Gradle, WebSocket",Básico,Medium
413,Procesamiento de lenguaje natural con spaCy,"Documentación técnica sobre Procesamiento de lenguaje natural con spaCy. Se detallan las configuraciones necesarias para CatBoost y Keras, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Además, se discute la integración con Altair.",Data Science,"CatBoost, Keras, NLP",Avanzado,Blog técnico
414,Blockchain para autenticación descentralizada,"Deep dive sobre Blockchain para autenticación descentralizada. Analizamos arquitecturas modernas que combinan XSS y SSO. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Seguridad. Se incluyen ejemplos usando GDPR y Wireshark.",Seguridad,"XSS, SSO, autenticación, Zero Trust, Burp Suite, OWASP",Básico,Medium
415,Detección de objetos con YOLO y OpenCV,"Artículo técnico sobre Detección de objetos con YOLO y OpenCV. Comparativa entre Transformers y machine learning: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Data Science. El contenido también cubre errores comunes al usar clasificación.",Data Science,"Transformers, machine learning, Python, ETL, clasificación",Avanzado,Libro técnico
416,Desarrollo de apps multiplataforma con Flutter,"Masterclass de Desarrollo de apps multiplataforma con Flutter. Se profundiza en CameraX, API móvil y Swift con casos de estudio de empresas reales. Incluye ejercicios de Mobile para consolidar el aprendizaje. Se proporciona una comparativa entre Android Studio y Expo.",Mobile,"CameraX, API móvil, Swift, Google Maps, MVVM, Ionic",Básico,Dev.to
417,Gestión de estado en React Native con Redux,Guía de referencia rápida: Gestión de estado en React Native con Redux. Consulta práctica sobre Swift y Expo para resolver problemas cotidianos en Mobile. Incluye snippets de código y comandos útiles.,Mobile,"Swift, Expo, Kotlin, Core Data",Intermedio,GitHub
418,Consumo de APIs GraphQL desde el frontend,Guía de referencia rápida: Consumo de APIs GraphQL desde el frontend. Consulta práctica sobre JavaScript y GSAP para resolver problemas cotidianos en Frontend. Incluye snippets de código y comandos útiles.,Frontend,"JavaScript, GSAP, Tailwind, jQuery",Avanzado,Curso online
419,Uso de Redis como capa de caché en aplicaciones web,"Guía de referencia rápida: Uso de Redis como capa de caché en aplicaciones web. Consulta práctica sobre base de datos y Entity Framework para resolver problemas cotidianos en Backend. Incluye snippets de código y comandos útiles. Finalmente, se revisan consideraciones de rendimiento con Docker.",Backend,"base de datos, Entity Framework, RESTful, ORM",Básico,Wiki interna
420,Protección contra ataques SQL Injection y XSS,"Deep dive sobre Protección contra ataques SQL Injection y XSS. Analizamos arquitecturas modernas que combinan SIEM y Zero Trust. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Seguridad. El contenido también cubre errores comunes al usar SAML.",Seguridad,"SIEM, Zero Trust, WAF",Intermedio,YouTube
421,Inyección de dependencias en NestJS,"En este contenido se presentan los conceptos fundamentales de Inyección de dependencias en NestJS. Se explica paso a paso cómo implementar soluciones prácticas utilizando Jest y Hibernate, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Backend.",Backend,"Jest, Hibernate, Spring Boot",Básico,YouTube
422,Sharding horizontal en bases de datos distribuidas,"Guía completa sobre Sharding horizontal en bases de datos distribuidas. Aprenderás a trabajar con procedimientos almacenados, MongoDB y BASE desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Bases de Datos.",Bases de Datos,"procedimientos almacenados, MongoDB, BASE, ACID, Neo4j",Básico,Dev.to
423,Replicación y alta disponibilidad en MySQL,"Curso intensivo de Replicación y alta disponibilidad en MySQL. Domina BASE, transacciones y ACID a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Bases de Datos.",Bases de Datos,"BASE, transacciones, ACID, ETL",Básico,Webinar
424,Documentación de APIs con Swagger y OpenAPI,"Deep dive sobre Documentación de APIs con Swagger y OpenAPI. Analizamos arquitecturas modernas que combinan ASP.NET y Jest. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Backend. Además, se discute la integración con MySQL.",Backend,"ASP.NET, Jest, ORM, gRPC, MySQL, Python",Intermedio,Medium
425,Autenticación multifactor MFA en sistemas críticos,"En este contenido se presentan los conceptos fundamentales de Autenticación multifactor MFA en sistemas críticos. Se explica paso a paso cómo implementar soluciones prácticas utilizando SIEM y IPS, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Seguridad. Finalmente, se revisan consideraciones de rendimiento con phishing.",Seguridad,"SIEM, IPS, ABAC, Wireshark, OWASP",Intermedio,YouTube
426,Progressive Web Apps con Service Workers,"Análisis de caso: Progressive Web Apps con Service Workers. Revisamos cómo una empresa migró de Storybook a TypeScript en su plataforma de Frontend. Métricas, resultados y recomendaciones. Además, se discute la integración con Storybook.",Frontend,"Storybook, TypeScript, Playwright, Three.js",Básico,Tutorial
427,Modelos de boosting con XGBoost y LightGBM,"Proyecto guiado: Modelos de boosting con XGBoost y LightGBM. Construye paso a paso una solución completa usando Spark, Altair y Big Data. Enfocado en Data Science con código disponible en GitHub.",Data Science,"Spark, Altair, Big Data, Statsmodels, Prefect",Intermedio,Documentación oficial
428,Patrones de diseño en aplicaciones backend,"Introducción práctica a Patrones de diseño en aplicaciones backend. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando PostgreSQL, token y microservicios. Perfecto para equipos que inician proyectos de Backend. Incluye una sección de preguntas frecuentes sobre token.",Backend,"PostgreSQL, token, microservicios, Java, Spring Boot",Avanzado,Dev.to
429,Diseño de interfaces nativas en SwiftUI,"Masterclass de Diseño de interfaces nativas en SwiftUI. Se profundiza en Android, SwiftUI y widgets con casos de estudio de empresas reales. Incluye ejercicios de Mobile para consolidar el aprendizaje. Incluye una sección de preguntas frecuentes sobre Alamofire.",Mobile,"Android, SwiftUI, widgets, Jetpack Compose, ARKit, MVVM",Intermedio,Conferencia
430,Seguridad en contenedores y Kubernetes,"Curso intensivo de Seguridad en contenedores y Kubernetes. Domina DDoS, HSM y GDPR a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Seguridad. El contenido también cubre errores comunes al usar HSM.",Seguridad,"DDoS, HSM, GDPR, MFA, CSRF, IDS",Básico,YouTube
431,Autoescalado inteligente con políticas personalizadas,"Workshop práctico: Autoescalado inteligente con políticas personalizadas. Trabajaremos con EventBridge, cloud native y Lambda en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Cloud. Finalmente, se revisan consideraciones de rendimiento con GCP.",Cloud,"EventBridge, cloud native, Lambda, Route 53, Pub/Sub, redes",Intermedio,Dev.to
432,Diseño de sistemas de diseño con Storybook,"Curso intensivo de Diseño de sistemas de diseño con Storybook. Domina Next.js, Jest y UI/UX a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Frontend.",Frontend,"Next.js, Jest, UI/UX",Avanzado,Tutorial
433,Enfoques multi-cloud para reducir vendor lock-in,"Guía completa sobre Enfoques multi-cloud para reducir vendor lock-in. Aprenderás a trabajar con VPC, almacenamiento y RDS desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Cloud.",Cloud,"VPC, almacenamiento, RDS, GKE, AKS, Lambda",Básico,Medium
434,Modelado de datos para aplicaciones de escalabilidad masiva,"Análisis de caso: Modelado de datos para aplicaciones de escalabilidad masiva. Revisamos cómo una empresa migró de data warehouse a MariaDB en su plataforma de Bases de Datos. Métricas, resultados y recomendaciones.",Bases de Datos,"data warehouse, MariaDB, indexación, data lake, ETL",Básico,GitHub
435,Streaming de datos en tiempo real con Kafka,"Curso intensivo de Streaming de datos en tiempo real con Kafka. Domina OpenAPI, SOAP y OAuth2 a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Backend. Además, se discute la integración con ORM.",Backend,"OpenAPI, SOAP, OAuth2, Hibernate, CQRS, WebSocket",Avanzado,YouTube
436,Introducción a servicios serverless en AWS Lambda,"En este contenido se presentan los conceptos fundamentales de Introducción a servicios serverless en AWS Lambda. Se explica paso a paso cómo implementar soluciones prácticas utilizando DynamoDB y multi-cloud, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Cloud. Se proporciona una comparativa entre multi-cloud y migración.",Cloud,"DynamoDB, multi-cloud, Pub/Sub, SQS",Intermedio,Tutorial
437,Consumo de APIs REST desde aplicaciones móviles,"Análisis de caso: Consumo de APIs REST desde aplicaciones móviles. Revisamos cómo una empresa migró de Capacitor a App Store en su plataforma de Mobile. Métricas, resultados y recomendaciones. Incluye una sección de preguntas frecuentes sobre SQLite.",Mobile,"Capacitor, App Store, MVVM",Intermedio,Conferencia
438,Generación de texto con modelos GPT,"Curso intensivo de Generación de texto con modelos GPT. Domina deep learning, SciPy y CatBoost a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Data Science. Se incluyen ejemplos usando NLTK y Streamlit.",Data Science,"deep learning, SciPy, CatBoost, TensorFlow",Avanzado,Dev.to
439,Patrón CQRS para sistemas de alta carga,"Introducción práctica a Patrón CQRS para sistemas de alta carga. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Redis, SOAP y JUnit. Perfecto para equipos que inician proyectos de Backend. Incluye una sección de preguntas frecuentes sobre Ruby on Rails.",Backend,"Redis, SOAP, JUnit, Hibernate",Intermedio,GitHub
440,Almacenamiento de objetos con Amazon S3,"Introducción práctica a Almacenamiento de objetos con Amazon S3. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Pub/Sub, CloudTrail y cloud native. Perfecto para equipos que inician proyectos de Cloud.",Cloud,"Pub/Sub, CloudTrail, cloud native, almacenamiento, GKE, Azure",Avanzado,Libro técnico
441,Server Side Rendering con Next.js,"Curso intensivo de Server Side Rendering con Next.js. Domina Cypress, Playwright y Prettier a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Frontend. Incluye una sección de preguntas frecuentes sobre Tailwind.",Frontend,"Cypress, Playwright, Prettier, Babel, Ant Design",Básico,Conferencia
442,Gestión de certificados SSL/TLS,"Guía completa sobre Gestión de certificados SSL/TLS. Aprenderás a trabajar con SSL, encriptación y Burp Suite desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Seguridad.",Seguridad,"SSL, encriptación, Burp Suite, OpenID, SQL injection, autenticación",Intermedio,Conferencia
443,Gestión de estado en React Native con Redux,"En este contenido se presentan los conceptos fundamentales de Gestión de estado en React Native con Redux. Se explica paso a paso cómo implementar soluciones prácticas utilizando MVVM y SQLite, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Mobile. Se incluyen ejemplos usando GetX y Retrofit.",Mobile,"MVVM, SQLite, Kotlin, ARKit, Dart, React Native",Avanzado,Conferencia
444,Escaneo de vulnerabilidades con Trivy,"Proyecto guiado: Escaneo de vulnerabilidades con Trivy. Construye paso a paso una solución completa usando despliegue, ELK Stack y Helm. Enfocado en DevOps con código disponible en GitHub. Además, se discute la integración con bash.",DevOps,"despliegue, ELK Stack, Helm, Jaeger, GitOps",Avanzado,Libro técnico
445,Almacenamiento de objetos con Amazon S3,"Serie de tutoriales: Almacenamiento de objetos con Amazon S3. Parte 1: configuración inicial con SQS. Parte 2: integración con EventBridge. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Cloud. Finalmente, se revisan consideraciones de rendimiento con BigQuery.",Cloud,"SQS, EventBridge, backup, Cloud Storage, Azure DevOps",Básico,Dev.to
446,Teorema CAP y consistencia en bases distribuidas,"Documentación técnica sobre Teorema CAP y consistencia en bases distribuidas. Se detallan las configuraciones necesarias para MongoDB y ClickHouse, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Finalmente, se revisan consideraciones de rendimiento con MongoDB.",Bases de Datos,"MongoDB, ClickHouse, indexación",Avanzado,Curso online
447,Observabilidad distribuida con Jaeger,"Deep dive sobre Observabilidad distribuida con Jaeger. Analizamos arquitecturas modernas que combinan HAProxy y Datadog. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en DevOps. Incluye una sección de preguntas frecuentes sobre Kubernetes.",DevOps,"HAProxy, Datadog, SonarQube",Básico,Curso online
448,Sincronización offline en aplicaciones móviles,"Introducción práctica a Sincronización offline en aplicaciones móviles. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Google Maps, Android y App Store. Perfecto para equipos que inician proyectos de Mobile. Se incluyen ejemplos usando SwiftUI y Room.",Mobile,"Google Maps, Android, App Store, CameraX, MVVM, Dart",Intermedio,GitHub
449,Procedimientos almacenados y triggers en PostgreSQL,"Tutorial avanzado de Procedimientos almacenados y triggers en PostgreSQL. Exploramos la integración de NoSQL con indexación para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Además, se discute la integración con consultas.",Bases de Datos,"NoSQL, indexación, triggers, normalización, pgAdmin",Básico,GitHub
450,Monitoreo y auditoría con CloudWatch y CloudTrail,"Guía completa sobre Monitoreo y auditoría con CloudWatch y CloudTrail. Aprenderás a trabajar con SQS, EKS y Cloud Functions desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Cloud. Incluye una sección de preguntas frecuentes sobre GCP.",Cloud,"SQS, EKS, Cloud Functions",Avanzado,Dev.to
451,Generación de texto con modelos GPT,"Análisis de caso: Generación de texto con modelos GPT. Revisamos cómo una empresa migró de Matplotlib a Gradio en su plataforma de Data Science. Métricas, resultados y recomendaciones. Incluye una sección de preguntas frecuentes sobre XGBoost.",Data Science,"Matplotlib, Gradio, Keras",Básico,Tutorial
452,Creación de APIs REST escalables con Spring Boot,"Deep dive sobre Creación de APIs REST escalables con Spring Boot. Analizamos arquitecturas modernas que combinan ORM y Spring Boot. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Backend. El contenido también cubre errores comunes al usar Django.",Backend,"ORM, Spring Boot, Node.js, OpenAPI",Intermedio,GitHub
453,Bases de datos serverless con DynamoDB y Firestore,Charla técnica: Bases de datos serverless con DynamoDB y Firestore. Se discuten los desafíos de implementar EventBridge y SQS en escenarios reales de Cloud. Lecciones aprendidas y errores a evitar. Se proporciona una comparativa entre AWS y GCP.,Cloud,"EventBridge, SQS, cloud native, Azure DevOps",Básico,YouTube
454,Uso de Redis como capa de caché en aplicaciones web,Guía de referencia rápida: Uso de Redis como capa de caché en aplicaciones web. Consulta práctica sobre base de datos y OAuth2 para resolver problemas cotidianos en Backend. Incluye snippets de código y comandos útiles. El contenido también cubre errores comunes al usar Python.,Backend,"base de datos, OAuth2, Redis, WebSocket, ORM, JUnit",Avanzado,Tutorial
455,Diseño de data lakes para análisis masivo,"Documentación técnica sobre Diseño de data lakes para análisis masivo. Se detallan las configuraciones necesarias para SQLite y normalización, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Bases de Datos,"SQLite, normalización, DBeaver",Intermedio,Conferencia
456,Estrategias de rollback en despliegues productivos,"Introducción práctica a Estrategias de rollback en despliegues productivos. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Canary, Prometheus y CI/CD. Perfecto para equipos que inician proyectos de DevOps. El contenido también cubre errores comunes al usar SRE.",DevOps,"Canary, Prometheus, CI/CD",Básico,Documentación oficial
457,Optimización de planes de ejecución de consultas,"Documentación técnica sobre Optimización de planes de ejecución de consultas. Se detallan las configuraciones necesarias para data warehouse y consultas, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Bases de Datos,"data warehouse, consultas, Couchbase",Básico,Tutorial
458,Análisis estadístico con Statsmodels,Serie de tutoriales: Análisis estadístico con Statsmodels. Parte 1: configuración inicial con CatBoost. Parte 2: integración con Dask. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Data Science. Se proporciona una comparativa entre LightGBM y visualización.,Data Science,"CatBoost, Dask, Plotly",Básico,Libro técnico
459,Estrategias de indexación para consultas rápidas,"Tutorial avanzado de Estrategias de indexación para consultas rápidas. Exploramos la integración de consultas con indexación para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Bases de Datos,"consultas, indexación, Neo4j",Intermedio,Documentación oficial
